Nom,Sexe,Identifiant,"État
membre"
JANOWSKI Mieczysław Edmund,M,28355,PL
JÁRÓKA Lívia,F,28141,HU
JARZEMBOWSKI Georg,M,1,DE
JEGGLE Elisabeth,F,4271,DE
JELEVA Rumiana,F,38609,BG
JENSEN Anne E.,F,4440,DK
JOAN i MARÍ Bernat,M,28412,ES
JONCKHEER Pierre,M,4255,BE
JÖNS Karin,F,1904,DE
JORDAN Romana,F,28291,SI
JØRGENSEN Dan,M,28156,DK
JOUYE DE GRANDMAISON Madeleine,F,39629,FR
JURI Aurelio,M,94577,SI
KACIN Jelko,M,23691,SI
KACZMAREK Filip,M,28280,PL
KALLENBACH Gisela,F,28236,DE
KAMALL Syed,M,33569,GB
KAMIŃSKI Michał Tomasz,M,23792,PL
KARAS Othmar,M,4246,AT
KARATZAFERIS Georgios,M,28587,GR
KARIM Sajjad,M,28481,GB
KASOULIDES Ioannis,M,28474,CY
KASTLER Martin,M,25919,DE
KAUFMANN Sylvia-Yvonne,F,1849,DE
KAUPPI Piia-Noora,F,4258,FI
KAZAK Metin,M,38613,BG
KAZAK Tchetin,M,34251,BG
KELAM Tunne,M,28424,EE
KELEMEN Atilla Béla Ladislau,M,33981,RO
KILROY-SILK Robert,M,28492,GB
KINDERMANN Heinz,M,1905,DE
KINNOCK Glenys,F,2123,GB
KIRILOV Evgeni,M,34231,BG
KIRKHOPE Timothy,M,4542,GB
KLAMT Ewa,F,4278,DE
KLASS Christa,F,1929,DE
KLICH Bogdan,M,23780,PL
KLINZ Wolf,M,28244,DE
KNAPMAN Roger,M,28505,GB
KOCH Dieter-Lebrecht,M,1852,DE
KOCH-MEHRIN Silvana,F,28241,DE
KOHLÍČEK Jaromír,M,28331,CZ
KONRAD Christoph,M,2225,DE
KÓNYA-HAMAR Sándor,M,33988,RO
KOPPA Maria Eleni,F,39319,GR
KORHOLA Eija-Riitta,F,4260,FI
KÓSÁNÉ KOVÁCS Magda,F,23807,HU
KOTEREC Miloš,M,28181,SK
KOZLÍK Sergej,M,23873,SK
KRAHMER Holger,M,28247,DE
KRARUP Ole,M,1919,DK
KRASTS Guntars,M,26828,LV
KRATSA-TSAGAROPOULOU Rodi,F,4482,GR
KREHL Constanze,F,1854,DE
KREISSL-DÖRFLER Wolfgang,M,1935,DE
KRISTENSEN Henrik Dam,M,28152,DK
KRISTOVSKIS Ģirts Valdis,M,28616,LV
KRUPA Urszula,F,28334,PL
KUC Wiesław Stefan,M,28374,PL
KUDRYCKA Barbara,F,28284,PL
KUHNE Helmut,M,1908,DE
KUŁAKOWSKI Jan Jerzy,M,28386,PL
KUŠĶIS Aldis,M,23853,LV
KUSSTATSCHER Sepp,M,28418,IT
KUŹMIUK Zbigniew,M,28389,PL
LAGENDIJK Joost,M,2329,NL
LAIGNEL André,M,1980,FR
LAMASSOURE Alain,M,1204,FR
LAMBERT Jean,F,4531,GB
LAMBRINIDIS Stavros,M,28576,GR
LAMBSDORFF Alexander Graf,M,28242,DE
LANDSBERGIS Vytautas,M,23746,LT
LANG Carl,M,2057,FR
de LANGE Esther,F,38398,NL
LANGEN Werner,M,1928,DE
LANGENDRIES Raymond,M,28842,BE
LAPERROUZE Anne,F,28209,FR
LA RUSSA Romano Maria,M,28416,IT
LASCHET Armin,M,4280,DE
LAUK Kurt Joachim,M,28222,DE
LAVARRA Vincenzo,M,4455,IT
LAX Henrik,M,28262,FI
LEBECH Johannes,M,39762,DK
LECHNER Kurt,M,4283,DE
LE FOLL Stéphane,M,28162,FR
LEFRANÇOIS Roselyne,F,38846,FR
LEHIDEUX Bernard,M,2326,FR
LEHNE Klaus-Heiner,M,2224,DE
LEHTINEN Lasse,M,28263,FI
LEICHTFRIED Jörg,M,28251,AT
LEINEN Jo,M,4262,DE
LEONTINI Innocenzo,M,72754,IT
LE PEN Jean-Marie,M,1023,FR
LE PEN Marine,F,28210,FR
LE RACHINEL Fernand,M,2066,FR
LETTA Enrico,M,28413,IT
LÉVAI Katalin,F,28200,HU
LEWANDOWSKI Janusz,M,23781,PL
LIBERADZKI Bogusław,M,23768,PL
LIBICKI Marcin,M,24087,PL
LICHTENBERGER Eva,F,28253,AT
LIENEMANN Marie-Noëlle,F,1708,FR
LIEPIŅA Liene,F,23852,LV
LIESE Peter,M,1927,DE
LIOTARD Kartika Tamara,F,28182,NL
LIPIETZ Alain,M,4384,FR
LOCATELLI Pia Elda,F,28976,IT
LO CURTO Eleonora,F,93515,IT
LOMBARDO Raffaele,M,4472,IT
LÓPEZ-ISTÚRIZ WHITE Antonio,M,28399,ES
LOSCO Andrea,M,36393,IT
LOUIS Patrick,,28217,FR
LUCAS Caroline,F,4524,GB
LUDFORD Sarah,F,4529,GB
LULLING Astrid,F,1186,LU
LUNDGREN Nils,M,28142,SE
LUQUE AGUILAR Florencio,M,40602,ES
LYNNE Elizabeth,F,4541,GB
LYUBCHEVA Marusya,F,37524,BG
MAAT Albert Jan,M,4492,NL
MAATEN Jules,M,4501,NL
McAVAN Linda,F,2327,GB
McCARTHY Arlene,F,2173,GB
McDONALD Mary Lou,F,28111,IE
McGUINNESS Mairead,F,28115,IE
McMILLAN-SCOTT Edward,M,1405,GB
MADEIRA Jamila,F,28317,PT
MALDEIKIS Eugenijus,M,23745,LT
MALMSTRÖM Cecilia,F,4273,SE
MANDERS Toine,M,4560,NL
MĂNESCU Ramona Nicole,F,39717,RO
MAŇKA Vladimír,M,28192,SK
MANN Erika,F,1898,DE
MANN Thomas,M,1922,DE
MANOLAKOU Diamanto,F,28585,GR
MANOLE Adrian,M,95016,RO
MANTOVANI Mario,M,4395,IT
MARINESCU Marian-Jean,M,33982,RO
MARINI Catiuscia,F,41006,IT
MARKOV Helmuth,M,4303,DE
MARQUES Sérgio,M,4452,PT
MARTENS Maria,F,4559,NL
MARTIN David,M,1403,GB
MARTIN Hans-Peter,M,4238,AT
MARTINEZ Jean-Claude,M,966,FR
MARTÍNEZ MARTÍNEZ Miguel Angel,M,4346,ES
MASIEL Jan Tadeusz,M,28375,PL
MASIP HIDALGO Antonio,M,28338,ES
MAŠTÁLKA Jiří,M,23704,CZ
MASTENBROEK Edith,F,28169,NL
MATHIEU HOUILLON Véronique,F,4412,FR
MATO ADROVER Ana,F,28383,ES
MATSAKIS Marios,M,23881,CY
MATSIS Yiannakis,M,28516,CY
MATSOUKA Maria,F,28575,GR
MATULA Iosif,M,95017,RO
MAURO Mario,M,4393,IT
MAVROMMATIS Manolis,M,28574,GR
MAYER Hans-Peter,M,4275,DE
MAYOR OREJA Jaime,M,28362,ES
MEDINA ORTEGA Manuel,M,1337,ES
MEIJER Erik,M,4508,NL
MÉNDEZ DE VIGO Íñigo,M,1873,ES
MENÉNDEZ del VALLE Emilio,M,4348,ES
MEYER Willy,M,28407,ES
MIGUÉLEZ RAMOS Rosa,F,4349,ES
MIHĂESCU Eugen,M,34000,RO
MIHALACHE Dan,M,36696,RO
MIKKO Marianne,F,28421,EE
MIKOLÁŠIK Miroslav,M,28178,SK
MILLÁN MON Francisco José,M,28400,ES
MITCHELL Gay,M,28112,IE
MLADENOV Nickolay,M,38607,BG
MOHÁCSI Viktória,F,30099,HU
MOISUC Viorica-Pompilia-Georgeta,F,37450,RO
MÖLZER Andreas,M,28255,AT
MONTORO ROMERO Cristobal,M,28385,ES
MORAES Claude,M,4519,GB
MORENO SÁNCHEZ Javier,M,28347,ES
MORGAN Eluned,F,2171,GB
MORGANTINI Luisa,F,4453,IT
MORILLON Philippe,M,4332,FR
MORIN-CHARTIER Elisabeth,F,38596,FR
MORŢUN Alexandru-Ioan,M,34482,RO
MOSCOVICI Pierre,M,1983,FR
MOTE Ashley,M,28507,GB
MULDER Jan,M,1965,NL
MUSACCHIO Roberto,M,28977,IT
MUSCĂ Monica Octavia,F,33983,RO
MUSCARDINI Cristiana,F,1073,IT
MUSCAT Joseph,M,28121,MT
MUSOTTO Francesco,M,4471,IT
MUSSA Antonio,M,21951,IT
MUSSOLINI Alessandra,F,28429,IT
MUSUMECI Sebastiano (Nello),M,1944,IT
MYLLER Riitta,F,2062,FI
NAPOLETANO Pasqualina,F,1065,IT
NARANJO ESCOBAR Juan Andrés,M,5537,ES
NASSAUER Hartmut,M,1920,DE
NATTRASS Mike,M,28506,GB
NAVARRO Robert,M,28164,FR
NAZARE Alexandru,M,95019,RO
NECHIFOR Cătălin-Ioan,M,39707,RO
NERIS Catherine,F,38847,FR
NEWTON DUNN Bill,M,1394,GB
NEYTS-UYTTEBROECK Annemie,F,1946,BE
NICHOLSON James,M,1318,GB
NICHOLSON OF WINTERBOURNE ,F,4522,GB
NICOLAE Şerban,M,34001,RO
NICULESCU Rareş-Lucian,M,39714,RO
NIEBLER Angelika,F,4289,DE
van NISTELROOIJ Lambert,M,28165,NL
NOVAK Ljudmila,F,28294,SI
OBIOLS Raimon,M,4328,ES
OCCHETTO Achille,M,1094,IT
ÖGER Vural,M,28230,DE
OLAJOS Péter,M,28636,HU
OLBRYCHT Jan Marian,M,28288,PL
Ó NEACHTAIN Seán,M,22861,IE
ONESTA Gérard,M,1838,FR
ONYSZKIEWICZ Janusz,M,28387,PL
OOMEN-RUIJTEN Ria,F,1122,NL
OPREA Dumitru,M,39723,RO
ORTUONDO LARREA Josu,M,4377,ES
ŐRY Csaba,M,23819,HU
OUZKÝ Miroslav,M,23705,CZ
OVIIR Siiri,F,26829,EE
ÖZDEMIR Cem,M,28235,DE
PAASILINNA Reino,M,2301,FI
PACK Doris,F,1191,DE
PAFILIS Athanasios,M,28583,GR
PAGANO Maria Grazia,F,72727,IT
PAHOR Borut,M,28312,SI
PALECKIS Justas Vincas,M,28279,LT
PÁLFI István,M,28147,HU
PANAYOTOPOULOS-CASSIOTOU Marie,F,28571,GR
PANAYOTOV Vladko Todorov,M,38602,BG
PANNELLA Marco,M,1002,IT
PANZERI Pier Antonio,M,28365,IT
PAPADIMOULIS Dimitrios,M,28586,GR
PAPARIZOV Atanas,M,34229,BG
PAPASTAMKOS Georgios,M,28572,GR
PARISH Neil,M,4528,GB
PARVANOVA Antonyia,F,34234,BG
PAŞCU Ioan Mircea,M,33984,RO
PATRICIELLO Aldo,M,36392,IT
PATRIE Béatrice,F,4309,FR
PAVILIONIS Rolandas,M,28289,LT
PEILLON Vincent,M,28166,FR
PĘK Bogdan,M,28337,PL
PETERLE Alojz,M,23693,SI
PETRE Maria,F,34002,RO
PFLÜGER Tobias,M,28249,DE
PIECYK Willi,M,1866,DE
PIEPER Markus,M,28224,DE
PIETIKÄINEN Sirpa,F,40599,FI
PĪKS Rihards,M,23848,LV
PINHEIRO João de Deus,M,28381,PT
PINIOR Józef,M,28392,PL
PIOTROWSKI Mirosław,M,28341,PL
PIRILLI Umberto,M,29073,IT
PIRKER Hubert,M,2307,AT
PISKORSKI Paweł Bartłomiej,M,28296,PL
PISTELLI Lapo,M,28420,IT
